"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.451367917E-1,-2.571441722E0,1.464920771E0,1.589710001E0,3.359387338E0
9.551927917E-1,-2.056591168E0,1.789762545E0,1.028890100E0,2.914006183E0
9.652497917E-1,-1.891933283E0,1.444690282E0,7.908710003E-1,2.508389622E0
9.753067917E-1,-2.216095609E0,5.767275444E-1,5.235012174E-1,2.348988705E0
9.853637917E-1,-2.357587411E0,2.008901569E-1,5.101110935E-3,2.366136360E0
9.954197917E-1,-2.110486709E0,3.132414821E-1,-5.989332229E-1,2.216076573E0
1.005476792E0,-2.023648247E0,1.182760164E-1,-1.274539815E0,2.394492260E0
1.015533792E0,-1.895864366E0,-2.336541528E-1,-1.990961727E0,2.759134747E0
1.025589792E0,-1.278013646E0,-2.427056426E-1,-2.482962239E0,2.803092291E0
1.035646792E0,-6.535997191E-1,-1.604130989E-1,-2.848147754E0,2.926580015E0
1.045703792E0,-2.936272895E-1,-4.756008267E-2,-2.991112177E0,3.005866098E0
1.055760792E0,-1.376191905E-1,1.713304353E-1,-2.762922247E0,2.771647976E0
1.065816792E0,-6.011025399E-2,7.010887581E-1,-2.113963171E0,2.227998873E0
1.075873792E0,3.500903428E-2,1.025988419E0,-1.275332698E0,1.637177864E0
1.085930792E0,8.303894073E-2,7.855283993E-1,-4.443199772E-1,9.062949707E-1
1.095987792E0,-5.929515213E-2,5.494713333E-1,1.397952318E-1,5.700678627E-1
1.106043792E0,-2.795764303E-1,5.605366042E-1,3.385286433E-1,7.120153842E-1
1.116100792E0,-4.264733979E-1,5.888172475E-1,2.997838229E-1,7.864195130E-1
1.126157792E0,-6.074546626E-1,6.185178870E-1,2.698414010E-1,9.079537022E-1
1.136214792E0,-7.632408598E-1,6.721415323E-1,1.965658486E-1,1.035832507E0
1.146270792E0,-8.016737312E-1,6.792064306E-1,1.633203346E-1,1.063332346E0
1.156327792E0,-7.488596329E-1,5.399947509E-1,1.336445457E-1,9.328697366E-1
1.166384792E0,-6.782714608E-1,4.481273916E-1,1.024379557E-1,8.193679689E-1
1.176441792E0,-6.920901856E-1,4.749909621E-1,1.323213208E-1,8.497730115E-1
1.186497292E0,-7.235490829E-1,5.987306169E-1,3.026799488E-1,9.867202128E-1
1.196554292E0,-7.504986075E-1,6.404007992E-1,5.162003839E-1,1.113473924E0
